,price,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,bathrooms_number,accommodates,host_is_superhost,host_listings_count,host_response_rate,review_scores_rating,review_scores_cleanliness,number_of_reviews,reviews_per_month,minimum_nights,availability_365,instant_bookable,Shared_bath_status,host_tenure_years,amenities_count,region_geo,region_median_price,above_local_median
0,105.0,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.63,4.52,150,0.76,63,140,False,False,17.0,44.0,Prenzlauer Berg Südwest,144.0,False
1,135.0,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,4.0,2.5,7,False,1.0,20%,5.0,5.0,7,0.06,6,241,False,False,16.0,32.0,Prenzlauer Berg Südwest,144.0,False
2,75.0,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,0.0,1.0,1,False,4.0,80%,4.68,4.85,26,0.14,150,168,False,False,16.0,14.0,Prenzlauer Berg Nordwest,97.0,False
3,32.0,Reuterstraße,52.49419,13.42166,Entire home/apt,0.0,1.0,2,False,2.0,100%,4.77,4.71,298,1.57,93,72,False,False,15.0,18.0,Reuterstraße,90.0,False
4,202.0,Prenzlauer Berg Südwest,52.53711,13.40888,Entire home/apt,2.0,1.0,4,False,3.0,100%,4.48,4.65,140,0.89,3,253,False,False,15.0,30.0,Prenzlauer Berg Südwest,144.0,True
5,,Brunnenstr. Süd,52.53408,13.38871,Entire home/apt,2.0,1.0,2,False,2.0,100%,4.7,4.7,182,1.03,93,147,False,False,15.0,32.0,Brunnenstraße Süd,145.5,False
6,152.0,Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,2.0,1.0,5,True,1.0,100%,4.81,4.77,600,3.29,4,321,False,False,15.0,40.0,Brunnenstraße Süd,145.5,True
7,65.0,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,1.0,1.0,4,False,1.0,,4.37,4.51,98,0.53,185,0,False,False,15.0,26.0,Tempelhofer Vorstadt,97.5,False
8,260.0,Helmholtzplatz,52.54419,13.41956,Entire home/apt,2.0,2.0,4,False,3.0,100%,4.66,4.55,201,1.09,180,365,False,False,15.0,55.0,Helmholtzplatz,119.0,True
9,70.0,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,0.0,1.0,1,False,4.0,80%,4.66,4.84,34,0.19,150,166,False,False,16.0,14.0,Prenzlauer Berg Nordwest,97.0,False
10,172.0,Helmholtzplatz,52.54596,13.42291,Entire home/apt,2.0,1.0,8,True,4.0,100%,4.8,4.75,503,2.75,4,277,True,False,14.0,31.0,Helmholtzplatz,119.0,True
11,60.0,Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,1.0,1.0,4,True,3.0,100%,5.0,4.67,3,0.19,92,116,False,False,15.0,31.0,Altstadt Köpenick,110.0,False
12,60.0,Schöneberg-Nord,52.49376,13.36408,Private room,1.0,1.0,2,False,1.0,75%,4.74,4.71,38,0.21,14,54,False,True,15.0,35.0,Schöneberg Nordost,85.0,False
13,,Regierungsviertel,52.50906,13.39374,Entire home/apt,4.0,2.0,16,False,1.0,,4.38,4.88,8,0.07,95,0,False,False,15.0,16.0,Regierungsviertel,159.0,False
14,,südliche Luisenstadt,52.4987,13.44041,Private room,,1.5,3,True,2.0,100%,4.53,4.41,207,1.12,2,0,False,True,15.0,30.0,Südliche Luisenstadt,101.0,False
15,,Prenzlauer Berg Südwest,52.5378,13.41287,Private room,,1.0,2,False,1.0,,4.71,4.53,70,0.38,92,0,False,True,15.0,7.0,Prenzlauer Berg Südwest,144.0,False
16,54.0,südliche Luisenstadt,52.49661,13.44038,Private room,1.0,1.5,5,True,2.0,100%,4.84,4.66,32,0.19,1,83,False,True,15.0,27.0,Südliche Luisenstadt,101.0,False
17,200.0,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,2.0,1.0,4,True,7.0,100%,4.91,4.85,201,1.13,90,85,False,False,15.0,30.0,Frankfurter Allee Süd FK,108.0,True
18,54.0,Neue Kantstraße,52.50469,13.29409,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.82,4.95,22,0.14,92,165,False,False,15.0,56.0,Altstadt Köpenick,113.0,False
19,290.0,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,2.0,2.0,4,True,1.0,100%,4.93,4.89,148,0.82,3,129,False,False,16.0,38.0,Prenzlauer Berg Nordwest,97.0,True
20,240.0,Prenzlauer Berg Süd,52.53572,13.42739,Entire home/apt,3.0,1.5,4,True,5.0,92%,4.83,4.78,89,0.52,3,345,False,False,15.0,18.0,Prenzlauer Berg Süd,125.0,True
21,282.0,Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,3.0,2.0,4,False,1.0,100%,4.8,4.58,19,0.11,3,52,False,False,15.0,45.0,Brunnenstraße Nord,150.0,True
22,,Prenzlauer Berg Nordwest,52.54994,13.406019,Private room,,1.5,2,True,1.0,100%,4.95,4.93,130,0.75,2,1,False,False,15.0,51.0,Prenzlauer Berg Nordwest,97.0,False
23,144.0,Reuterstraße,52.49337,13.42555,Entire home/apt,1.0,1.0,4,True,1.0,100%,4.99,5.0,100,0.59,5,69,False,False,15.0,38.0,Reuterstraße,90.0,True
24,137.0,Prenzlauer Berg Nord,52.55004,13.41518,Entire home/apt,0.0,1.0,4,True,11.0,100%,4.64,4.67,441,2.53,3,343,True,False,15.0,29.0,Prenzlauer Berg Nord,113.5,True
25,106.0,Prenzlauer Berg Nordwest,52.5488,13.40425,Entire home/apt,1.0,1.0,1,False,4.0,80%,5.0,5.0,2,0.08,150,255,False,False,16.0,30.0,Prenzlauer Berg Nordwest,97.0,True
26,99.0,Schmargendorf,52.48074,13.28903,Entire home/apt,0.0,1.0,1,True,2.0,100%,4.95,4.99,185,1.05,2,27,False,False,14.0,51.0,Schmargendorf,172.0,False
27,68.0,Prenzlauer Berg Nord,52.55064,13.41466,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.93,4.95,450,2.56,3,83,True,False,14.0,38.0,Prenzlauer Berg Nord,113.5,False
28,293.0,Helmholtzplatz,52.54720260822955,13.416090488433827,Entire home/apt,2.0,1.5,6,True,2.0,100%,4.87,4.82,397,2.25,3,319,False,False,14.0,46.0,Helmholtzplatz,119.0,True
29,94.0,Alexanderplatz,52.53036,13.38137,Entire home/apt,2.0,1.0,2,False,1.0,100%,4.74,4.79,213,1.68,3,279,True,False,14.0,17.0,Alexanderplatz,142.0,False
30,175.0,Prenzlauer Berg Nord,52.54715,13.42657,Entire home/apt,2.0,1.0,4,True,3.0,100%,4.89,4.89,327,1.88,3,325,False,False,14.0,21.0,Prenzlauer Berg Nord,113.5,True
31,131.0,Prenzlauer Berg Südwest,52.54048,13.41087,Entire home/apt,1.0,1.0,4,True,4.0,100%,4.8,4.59,72,0.41,4,0,False,False,14.0,27.0,Prenzlauer Berg Südwest,144.0,False
32,95.0,Blankenfelde/Niederschönhausen,52.58178,13.3962,Entire home/apt,1.0,1.0,4,True,1.0,100%,4.96,4.87,54,0.37,2,309,False,False,14.0,26.0,Blankenfelde/Niederschönhausen,98.0,False
33,58.0,südliche Luisenstadt,52.49989,13.4448,Entire home/apt,1.0,1.0,4,False,1.0,100%,4.72,4.93,82,0.47,92,207,False,False,14.0,25.0,Südliche Luisenstadt,101.0,False
34,113.0,Alexanderplatz,52.52536,13.40488,Entire home/apt,1.0,1.0,2,True,7.0,98%,4.83,4.91,761,4.5,2,285,False,False,14.0,42.0,Alexanderplatz,142.0,False
35,136.0,Frankfurter Allee Süd FK,52.50894,13.46075,Entire home/apt,1.0,1.0,2,False,1.0,,4.88,4.76,34,0.27,6,35,False,False,14.0,45.0,Frankfurter Allee Süd FK,108.0,True
36,165.0,Schöneberg-Nord,52.49944,13.34685,Entire home/apt,3.0,1.0,4,True,1.0,,4.45,4.43,306,1.77,210,365,True,False,14.0,45.0,Schöneberg Nordost,85.0,True
37,,Frankfurter Allee Nord,52.51604,13.46059,Private room,1.0,1.0,3,False,1.0,,4.67,4.68,188,1.18,3,0,False,False,13.0,58.0,Frankfurter Allee Nord,104.5,False
38,100.0,Schöneberg-Süd,52.48033,13.3609,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.9,4.96,336,1.96,4,313,False,False,14.0,44.0,Schöneberg Südost,103.0,False
39,75.0,Südliche Friedrichstadt,52.49681,13.41758,Entire home/apt,1.0,1.0,2,False,4.0,67%,4.43,4.03,35,0.3,2,58,False,False,14.0,38.0,Südliche  Friedrichstadt,125.0,False
40,185.0,Wiesbadener Straße,52.47844,13.30973,Entire home/apt,2.0,1.0,5,False,1.0,,4.88,4.91,77,0.48,184,365,False,False,14.0,40.0,Altstadt Köpenick,132.0,True
41,,Rixdorf,52.47705,13.44574,Private room,,1.0,1,False,1.0,,4.93,4.99,74,0.43,12,0,False,True,14.0,40.0,Rixdorf,88.5,False
42,,Tempelhofer Vorstadt,52.49295,13.39657,Entire home/apt,1.0,1.0,2,True,2.0,100%,4.82,4.69,73,0.42,92,12,False,False,14.0,18.0,Tempelhofer Vorstadt,97.5,False
43,49.0,Blankenburg/Heinersdorf/Märchenland,52.58045,13.44398,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.92,4.97,38,0.24,3,298,False,False,14.0,29.0,Blankenburg/Heinersdorf/Märchenland,68.0,False
44,80.0,Alexanderplatz,52.52889,13.40726,Entire home/apt,2.0,2.0,5,False,1.0,,4.81,4.87,33,0.19,92,265,False,False,14.0,29.0,Alexanderplatz,142.0,False
45,,Brunnenstr. Süd,52.52959,13.39763,Private room,,1.0,2,False,1.0,,,,0,,92,0,False,False,14.0,8.0,Brunnenstraße Süd,145.5,False
46,,Alexanderplatz,52.51107,13.41645,Entire home/apt,2.0,1.0,3,False,4.0,,4.71,4.8,31,0.18,365,0,False,False,14.0,26.0,Alexanderplatz,142.0,False
47,,Alexanderplatz,52.51112,13.41596,Entire home/apt,2.0,1.0,3,False,4.0,,4.71,4.86,53,0.33,365,0,False,False,14.0,24.0,Alexanderplatz,142.0,False
48,,Alexanderplatz,52.51101,13.41584,Entire home/apt,2.0,1.0,5,False,4.0,,4.66,4.78,40,0.24,365,0,False,False,14.0,10.0,Alexanderplatz,142.0,False
49,,Alexanderplatz,52.50898,13.41535,Entire home/apt,2.0,1.0,3,False,4.0,,4.66,4.91,79,0.48,365,0,False,False,14.0,24.0,Alexanderplatz,142.0,False
50,340.0,Südliche Friedrichstadt,52.50254,13.39134,Entire home/apt,3.0,2.0,7,True,3.0,100%,4.81,4.97,149,1.12,3,309,False,False,14.0,66.0,Südliche  Friedrichstadt,125.0,True
51,237.0,Pankow Zentrum,52.57051,13.39872,Entire home/apt,3.0,1.5,12,True,1.0,100%,4.83,4.76,198,1.18,2,167,False,False,14.0,71.0,Pankow Zentrum,115.0,True
52,65.0,Neue Kantstraße,52.499,13.30171,Entire home/apt,1.0,1.0,1,False,1.0,,4.83,4.76,30,0.19,92,363,False,False,14.0,36.0,Altstadt Köpenick,113.0,False
53,45.0,Schöneberg-Nord,52.49281,13.34951,Entire home/apt,1.0,1.0,2,False,1.0,,4.66,4.83,58,0.36,93,235,False,False,14.0,25.0,Schöneberg Nordost,85.0,False
54,,Prenzlauer Berg Südwest,52.53243,13.41645,Entire home/apt,1.0,1.0,3,False,2.0,,4.31,4.5,13,0.08,92,0,False,False,14.0,7.0,Prenzlauer Berg Südwest,144.0,False
55,120.0,Prenzlauer Berg Ost,52.53822,13.45771,Entire home/apt,2.0,1.0,4,False,2.0,100%,4.75,4.86,103,0.63,92,364,False,False,14.0,50.0,Prenzlauer Berg Ost,116.0,True
56,67.0,Buckow Nord,52.43973,13.46044,Entire home/apt,0.0,1.0,3,True,2.0,100%,4.75,4.68,80,0.5,3,235,True,False,14.0,45.0,Buckow Nord,67.0,False
57,,Alexanderplatz,52.51398,13.40711,Private room,2.0,1.0,2,False,1.0,,4.73,4.72,40,0.29,93,0,False,False,14.0,8.0,Alexanderplatz,142.0,False
58,118.0,Karlshorst,52.4766,13.50838,Entire home/apt,2.0,1.0,4,False,8.0,100%,4.15,4.25,66,0.4,5,338,False,False,14.0,58.0,Karlshorst,135.0,False
59,110.0,Südliche Friedrichstadt,52.50301,13.41506,Private room,1.0,1.0,2,True,3.0,100%,4.6,4.77,105,0.7,92,133,False,False,14.0,21.0,Südliche  Friedrichstadt,125.0,False
60,50.0,Düsseldorfer Straße,52.49713,13.32525,Private room,1.0,0.0,1,False,2.0,100%,4.67,4.83,12,0.09,14,301,False,True,14.0,31.0,Altstadt Köpenick,110.0,False
61,100.0,Rudow,52.41363,13.50172,Entire home/apt,3.0,1.0,4,False,2.0,17%,4.33,4.67,3,0.04,5,357,False,False,14.0,34.0,Rudow,72.0,True
62,,nördliche Luisenstadt,52.50035,13.43736,Entire home/apt,3.0,2.0,5,False,1.0,,5.0,4.92,12,0.12,7,0,False,False,14.0,22.0,Nördliche Luisenstadt,97.0,False
63,,Frankfurter Allee Süd FK,52.51399,13.46324,Entire home/apt,1.0,1.0,2,False,1.0,,,,0,,92,0,False,False,14.0,5.0,Frankfurter Allee Süd FK,108.0,False
64,,Tempelhofer Vorstadt,52.49757,13.38215,Private room,,1.0,2,False,1.0,,4.75,4.25,4,0.05,92,0,False,True,14.0,9.0,Tempelhofer Vorstadt,97.5,False
65,44.0,Otto-Suhr-Allee,52.5189,13.3009,Private room,1.0,1.0,1,False,1.0,100%,4.54,4.41,99,0.63,3,228,False,True,15.0,19.0,Otto-Suhr-Allee/Kantstraße,104.0,False
66,84.0,Mierendorffplatz,52.52545,13.29847,Entire home/apt,1.0,1.0,2,True,1.0,,4.84,4.77,44,0.29,30,172,False,False,14.0,26.0,Mierendorffplatz,99.0,False
67,112.0,Wedding Zentrum,52.54223,13.35284,Entire home/apt,2.0,1.0,4,True,2.0,100%,4.81,4.92,663,3.9,5,85,True,False,14.0,51.0,Wedding Zentrum,91.0,True
68,49.0,Moabit West,52.52875,13.34062,Entire home/apt,1.0,1.0,2,False,3.0,,4.73,4.78,211,1.26,92,305,False,False,14.0,36.0,Moabit West,92.0,False
69,107.0,Reuterstraße,52.48609,13.43662,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.45,4.73,12,0.07,14,35,False,False,14.0,25.0,Reuterstraße,90.0,True
70,,Altglienicke,52.40484,13.53339,Private room,,1.5,1,False,1.0,,4.94,4.95,448,2.7,1,0,False,True,14.0,52.0,Altglienicke,62.0,False
71,106.0,Moabit Ost,52.52067184448242,13.341280937194824,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.63,4.67,178,1.05,4,335,False,False,14.0,43.0,Moabit Ost,87.0,True
72,106.0,Moabit Ost,52.52147674560547,13.342495918273926,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.5,4.54,129,0.82,4,319,False,False,14.0,43.0,Moabit Ost,87.0,True
73,60.0,Alexanderplatz,52.52861,13.40527,Private room,1.0,1.0,2,True,1.0,100%,4.91,4.83,360,2.12,3,22,False,True,14.0,29.0,Alexanderplatz,142.0,False
74,151.0,Lichtenrade,52.39095,13.39185,Entire home/apt,4.0,2.5,7,False,1.0,50%,5.0,4.86,7,0.04,92,326,False,False,14.0,37.0,Lichtenrade Nord,76.0,True
75,28.0,Westend,52.51167,13.2852,Entire home/apt,1.0,1.0,1,False,1.0,100%,4.7,4.52,26,0.16,100,139,False,False,14.0,25.0,Westend,90.0,False
76,,Neue Kantstraße,52.50587,13.29551,Entire home/apt,1.0,1.0,2,True,3.0,100%,4.95,4.78,40,0.24,92,265,False,False,14.0,25.0,Altstadt Köpenick,113.0,False
77,55.0,Buckow Nord,52.44127,13.46116,Entire home/apt,1.0,1.0,2,True,2.0,100%,4.85,4.83,80,0.66,4,280,True,False,14.0,22.0,Buckow Nord,67.0,False
78,123.0,Prenzlauer Berg Südwest,52.53218,13.41571,Entire home/apt,1.0,1.0,2,True,3.0,100%,4.83,4.8,713,4.22,3,154,False,False,14.0,25.0,Prenzlauer Berg Südwest,144.0,False
79,146.0,Frankfurter Allee Süd FK,52.51367,13.45527,Entire home/apt,1.0,2.0,2,True,1.0,100%,4.77,4.63,100,0.61,4,298,False,False,14.0,24.0,Frankfurter Allee Süd FK,108.0,True
80,89.0,Zehlendorf  Südwest,52.41643,13.16445,Entire home/apt,1.0,1.0,4,False,3.0,100%,5.0,5.0,4,0.09,5,243,False,False,14.0,18.0,Zehlendorf Südwest,102.0,False
81,85.0,Zehlendorf  Südwest,52.41618,13.16461,Entire home/apt,1.0,1.0,2,False,3.0,100%,3.0,3.5,2,0.02,5,264,False,False,14.0,37.0,Zehlendorf Südwest,102.0,False
82,89.0,Moabit West,52.52826,13.33044,Entire home/apt,0.0,1.0,4,True,6.0,100%,4.68,4.53,314,2.02,2,76,True,False,14.0,25.0,Moabit West,92.0,False
83,179.0,Moabit West,52.53094,13.33453,Entire home/apt,1.0,1.0,5,False,1.0,,4.78,4.9,58,0.46,4,252,False,False,14.0,63.0,Moabit West,92.0,True
84,,Alexanderplatz,52.52779,13.39108,Entire home/apt,2.0,1.0,5,True,2.0,100%,4.67,4.75,453,2.81,2,174,False,False,14.0,42.0,Alexanderplatz,142.0,False
85,140.0,Brunnenstr. Süd,52.52983,13.39275,Entire home/apt,2.0,1.0,6,True,2.0,100%,4.72,4.88,387,2.38,1,191,False,False,14.0,46.0,Brunnenstraße Süd,145.5,False
86,77.0,Johannisthal,52.44612,13.49829,Entire home/apt,2.0,1.5,4,True,1.0,100%,4.62,4.74,277,2.15,2,333,True,False,14.0,36.0,Johannisthal,69.0,True
87,276.0,Regierungsviertel,52.52024,13.3907,Entire home/apt,3.0,1.0,6,True,5.0,80%,4.55,4.57,195,1.18,2,282,True,False,14.0,37.0,Regierungsviertel,159.0,True
88,140.0,Regierungsviertel,52.50974,13.39971,Entire home/apt,1.0,1.0,4,False,1.0,,4.53,4.63,119,0.76,3,362,False,False,14.0,32.0,Regierungsviertel,159.0,False
89,92.0,Helmholtzplatz,52.54339,13.42615,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.82,4.83,194,1.16,4,127,False,False,14.0,33.0,Helmholtzplatz,119.0,False
90,72.0,Schöneberg-Nord,52.49512,13.35251,Entire home/apt,1.0,1.0,4,True,1.0,100%,4.83,4.84,383,2.39,2,209,True,False,14.0,47.0,Schöneberg Nordost,85.0,False
91,127.0,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,2.0,2.0,6,False,7.0,100%,4.44,4.56,108,0.79,3,137,False,False,14.0,45.0,Otto-Suhr-Allee/Kantstraße,104.0,True
